record_id,week_no,date,work_centre,shift,planned_hrs,actual_hrs,utilization_pct,downtime_hrs,downtime_reason,delay_hrs,throughput_deviation_pct,overload_probability,operator_count,wc_status,scenario
WCU-01-1-WC-01-Mo,1,2026-01-05,WC-01,Morning,8,7.48,64.39,0.52,Planned Maintenance,1.37,6,0,2,Active,NORMAL
WCU-01-1-WC-01-Af,1,2026-01-05,WC-01,Afternoon,8,7.23,65.02,0.77,Planned Maintenance,0.67,0,0,1,Active,NORMAL
WCU-01-1-WC-01-Ni,1,2026-01-05,WC-01,Night,8,7.68,72.47,0.32,None,1.85,12,0,3,Active,NORMAL
WCU-01-1-WC-04-Mo,1,2026-01-05,WC-04,Morning,8,7.47,55.41,0.53,None,0.39,4,0,2,Active,NORMAL
WCU-01-1-WC-04-Af,1,2026-01-05,WC-04,Afternoon,8,7.47,82.86,0.53,Material Wait,0.4,-4,0.15,2,Active,NORMAL
WCU-01-1-WC-04-Ni,1,2026-01-05,WC-04,Night,8,7.92,60.65,0.08,None,1.72,-5,0,2,Active,NORMAL
WCU-01-1-WC-07-Mo,1,2026-01-05,WC-07,Morning,8,7.22,76.53,0.78,None,0.04,-1,0,3,Active,NORMAL
WCU-01-1-WC-07-Af,1,2026-01-05,WC-07,Afternoon,8,7.93,85.42,0.07,None,0.0,-2,0.1,3,Active,NORMAL
WCU-01-1-WC-07-Ni,1,2026-01-05,WC-07,Night,8,7.44,74.89,0.56,Material Wait,0.75,9,0,3,Active,NORMAL
WCU-01-1-WC-09-Mo,1,2026-01-05,WC-09,Morning,8,7.73,87.34,0.27,Material Wait,0.49,18,0.09,1,Active,NORMAL
WCU-01-1-WC-09-Af,1,2026-01-05,WC-09,Afternoon,8,7.69,65.84,0.31,None,1.25,0,0,1,Active,NORMAL
WCU-01-1-WC-09-Ni,1,2026-01-05,WC-09,Night,8,7.74,79.08,0.26,None,1.55,-2,0,4,Active,NORMAL
WCU-01-1-WC-12-Mo,1,2026-01-05,WC-12,Morning,8,7.07,72.03,0.93,None,0.64,20,0,1,Active,NORMAL
WCU-01-1-WC-12-Af,1,2026-01-05,WC-12,Afternoon,8,7.6,91.65,0.4,None,0.42,10,0.19,4,Active,NORMAL
WCU-01-1-WC-12-Ni,1,2026-01-05,WC-12,Night,8,7.4,68.54,0.6,Setup,1.39,-4,0,4,Active,NORMAL
WCU-01-1-WC-15-Mo,1,2026-01-05,WC-15,Morning,8,7.12,62.69,0.88,Material Wait,1.32,9,0,2,Active,NORMAL
WCU-01-1-WC-15-Af,1,2026-01-05,WC-15,Afternoon,8,7.36,63.15,0.64,Material Wait,0.21,20,0,2,Active,NORMAL
WCU-01-1-WC-15-Ni,1,2026-01-05,WC-15,Night,8,7.18,88.52,0.82,Planned Maintenance,1.38,20,0.21,3,Active,NORMAL
WCU-01-1-WC-ASSM-03-Mo,1,2026-01-05,WC-ASSM-03,Morning,8,7.25,88.68,0.75,None,0.77,-3,0.13,3,Active,NORMAL
WCU-01-1-WC-ASSM-03-Af,1,2026-01-05,WC-ASSM-03,Afternoon,8,7.01,65.01,0.99,None,0.32,2,0,1,Active,NORMAL
WCU-01-1-WC-ASSM-03-Ni,1,2026-01-05,WC-ASSM-03,Night,8,7.61,65.03,0.39,None,1.78,10,0,3,Active,NORMAL
WCU-01-2-WC-01-Mo,1,2026-01-06,WC-01,Morning,8,7.75,88.14,0.25,Setup,0.51,0,0.12,3,Active,NORMAL
WCU-01-2-WC-01-Af,1,2026-01-06,WC-01,Afternoon,8,7.2,75.42,0.8,Setup,0.46,4,0,4,Active,NORMAL
WCU-01-2-WC-01-Ni,1,2026-01-06,WC-01,Night,8,7.43,86.25,0.57,Planned Maintenance,0.68,15,0.1,1,Active,NORMAL
WCU-01-2-WC-04-Mo,1,2026-01-06,WC-04,Morning,8,7.57,71.88,0.43,Planned Maintenance,0.21,-5,0,2,Active,NORMAL
WCU-01-2-WC-04-Af,1,2026-01-06,WC-04,Afternoon,8,7.89,66.95,0.11,None,1.46,13,0,2,Active,NORMAL
WCU-01-2-WC-04-Ni,1,2026-01-06,WC-04,Night,8,7.89,58.56,0.11,Material Wait,0.05,16,0,1,Active,NORMAL
WCU-01-2-WC-07-Mo,1,2026-01-06,WC-07,Morning,8,7.03,72.72,0.97,Setup,0.96,10,0,1,Active,NORMAL
WCU-01-2-WC-07-Af,1,2026-01-06,WC-07,Afternoon,8,7.3,83.12,0.7,Setup,1.11,12,0.01,4,Active,NORMAL
WCU-01-2-WC-07-Ni,1,2026-01-06,WC-07,Night,8,7.04,83.73,0.96,None,1.21,9,0.12,3,Active,NORMAL
WCU-01-2-WC-09-Mo,1,2026-01-06,WC-09,Morning,8,7.39,55.82,0.61,None,0.69,-2,0,3,Active,NORMAL
WCU-01-2-WC-09-Af,1,2026-01-06,WC-09,Afternoon,8,7.44,93.2,0.56,None,1.67,-1,0.23,1,Active,NORMAL
WCU-01-2-WC-09-Ni,1,2026-01-06,WC-09,Night,8,7.7,84.07,0.3,Setup,1.34,4,0.02,1,Active,NORMAL
WCU-01-2-WC-12-Mo,1,2026-01-06,WC-12,Morning,8,7.91,62.02,0.09,Material Wait,0.78,17,0,4,Active,NORMAL
WCU-01-2-WC-12-Af,1,2026-01-06,WC-12,Afternoon,8,7.08,65.36,0.92,None,1.96,4,0,1,Active,NORMAL
WCU-01-2-WC-12-Ni,1,2026-01-06,WC-12,Night,8,7.63,91.76,0.37,None,0.63,1,0.16,3,Active,NORMAL
WCU-01-2-WC-15-Mo,1,2026-01-06,WC-15,Morning,8,7.72,94.76,0.28,Setup,1.79,-2,0.37,3,Active,NORMAL
WCU-01-2-WC-15-Af,1,2026-01-06,WC-15,Afternoon,8,7.34,93.8,0.66,None,1.54,19,0.29,3,Active,NORMAL
WCU-01-2-WC-15-Ni,1,2026-01-06,WC-15,Night,8,7.59,60.7,0.41,None,1.1,2,0,1,Active,NORMAL
WCU-01-2-WC-ASSM-03-Mo,1,2026-01-06,WC-ASSM-03,Morning,8,7.65,88.51,0.35,None,1.79,1,0.2,3,Active,NORMAL
WCU-01-2-WC-ASSM-03-Af,1,2026-01-06,WC-ASSM-03,Afternoon,8,7.49,64.67,0.51,Material Wait,0.08,6,0,2,Active,NORMAL
WCU-01-2-WC-ASSM-03-Ni,1,2026-01-06,WC-ASSM-03,Night,8,7.07,93.61,0.93,Planned Maintenance,0.71,14,0.37,1,Active,NORMAL
WCU-01-3-WC-01-Mo,1,2026-01-07,WC-01,Morning,8,7.28,88.13,0.72,None,1.86,6,0.19,4,Active,NORMAL
WCU-01-3-WC-01-Af,1,2026-01-07,WC-01,Afternoon,8,8.0,80.42,0.0,None,1.46,10,0,4,Active,NORMAL
WCU-01-3-WC-01-Ni,1,2026-01-07,WC-01,Night,8,7.87,62.38,0.13,None,1.72,15,0,1,Active,NORMAL
WCU-01-3-WC-04-Mo,1,2026-01-07,WC-04,Morning,8,7.28,85.81,0.72,Setup,0.07,-4,0.02,4,Active,NORMAL
WCU-01-3-WC-04-Af,1,2026-01-07,WC-04,Afternoon,8,7.06,88.94,0.94,None,1.0,-2,0.19,2,Active,NORMAL
WCU-01-3-WC-04-Ni,1,2026-01-07,WC-04,Night,8,7.97,82.66,0.03,Setup,0.66,16,0.06,4,Active,NORMAL
WCU-01-3-WC-07-Mo,1,2026-01-07,WC-07,Morning,8,7.74,93.25,0.26,None,1.02,7,0.18,4,Active,NORMAL
WCU-01-3-WC-07-Af,1,2026-01-07,WC-07,Afternoon,8,7.74,83.81,0.26,Planned Maintenance,1.21,7,0.09,3,Active,NORMAL
WCU-01-3-WC-07-Ni,1,2026-01-07,WC-07,Night,8,7.1,64.27,0.9,None,1.75,13,0,2,Active,NORMAL
WCU-01-3-WC-09-Mo,1,2026-01-07,WC-09,Morning,8,7.68,66.99,0.32,Setup,0.72,-1,0,1,Active,NORMAL
WCU-01-3-WC-09-Af,1,2026-01-07,WC-09,Afternoon,8,7.54,61.23,0.46,None,0.56,16,0,2,Active,NORMAL
WCU-01-3-WC-09-Ni,1,2026-01-07,WC-09,Night,8,7.86,68.11,0.14,None,1.23,8,0,2,Active,NORMAL
WCU-01-3-WC-12-Mo,1,2026-01-07,WC-12,Morning,8,7.53,86.82,0.47,Material Wait,1.0,15,0.12,4,Active,NORMAL
WCU-01-3-WC-12-Af,1,2026-01-07,WC-12,Afternoon,8,7.67,76.28,0.33,None,0.43,-3,0,2,Active,NORMAL
WCU-01-3-WC-12-Ni,1,2026-01-07,WC-12,Night,8,7.61,86.79,0.39,Setup,1.94,13,0.23,3,Active,NORMAL
WCU-01-3-WC-15-Mo,1,2026-01-07,WC-15,Morning,8,7.94,58.23,0.06,None,0.11,11,0,3,Active,NORMAL
WCU-01-3-WC-15-Af,1,2026-01-07,WC-15,Afternoon,8,7.49,72.51,0.51,None,1.91,11,0,4,Active,NORMAL
WCU-01-3-WC-15-Ni,1,2026-01-07,WC-15,Night,8,7.26,67.76,0.74,Material Wait,0.34,18,0,2,Active,NORMAL
WCU-01-3-WC-ASSM-03-Mo,1,2026-01-07,WC-ASSM-03,Morning,8,7.01,93.2,0.99,None,0.93,6,0.27,3,Active,NORMAL
WCU-01-3-WC-ASSM-03-Af,1,2026-01-07,WC-ASSM-03,Afternoon,8,7.39,76.43,0.61,None,1.56,7,0.02,4,Active,NORMAL
WCU-01-3-WC-ASSM-03-Ni,1,2026-01-07,WC-ASSM-03,Night,8,7.65,62.71,0.35,Planned Maintenance,0.02,6,0,2,Active,NORMAL
WCU-01-4-WC-01-Mo,1,2026-01-08,WC-01,Morning,8,7.22,60.06,0.78,Planned Maintenance,1.87,9,0,1,Active,NORMAL
WCU-01-4-WC-01-Af,1,2026-01-08,WC-01,Afternoon,8,7.26,60.05,0.74,Planned Maintenance,0.27,1,0,3,Active,NORMAL
WCU-01-4-WC-01-Ni,1,2026-01-08,WC-01,Night,8,7.94,83.21,0.06,None,0.09,0,0.0,2,Active,NORMAL
WCU-01-4-WC-04-Mo,1,2026-01-08,WC-04,Morning,8,7.25,63.53,0.75,Material Wait,0.37,2,0,3,Active,NORMAL
WCU-01-4-WC-04-Af,1,2026-01-08,WC-04,Afternoon,8,7.66,91.58,0.34,None,0.58,11,0.15,1,Active,NORMAL
WCU-01-4-WC-04-Ni,1,2026-01-08,WC-04,Night,8,7.06,87.88,0.94,Material Wait,0.43,17,0.24,3,Active,NORMAL
WCU-01-4-WC-07-Mo,1,2026-01-08,WC-07,Morning,8,7.29,68.61,0.71,None,0.94,11,0,4,Active,NORMAL
WCU-01-4-WC-07-Af,1,2026-01-08,WC-07,Afternoon,8,7.97,55.58,0.03,Planned Maintenance,1.07,-3,0,4,Active,NORMAL
WCU-01-4-WC-07-Ni,1,2026-01-08,WC-07,Night,8,7.08,83.47,0.92,Material Wait,1.38,18,0,3,Active,NORMAL
WCU-01-4-WC-09-Mo,1,2026-01-08,WC-09,Morning,8,7.66,69.62,0.34,Material Wait,0.54,3,0,4,Active,NORMAL
WCU-01-4-WC-09-Af,1,2026-01-08,WC-09,Afternoon,8,7.17,61.69,0.83,Planned Maintenance,1.33,16,0,1,Active,NORMAL
WCU-01-4-WC-09-Ni,1,2026-01-08,WC-09,Night,8,7.93,81.73,0.07,Material Wait,0.16,0,0.0,2,Active,NORMAL
WCU-01-4-WC-12-Mo,1,2026-01-08,WC-12,Morning,8,7.95,89.33,0.05,Setup,0.27,1,0.2,1,Active,NORMAL
WCU-01-4-WC-12-Af,1,2026-01-08,WC-12,Afternoon,8,7.69,89.8,0.31,Setup,0.75,7,0.25,1,Active,NORMAL
WCU-01-4-WC-12-Ni,1,2026-01-08,WC-12,Night,8,7.84,81.26,0.16,Setup,0.61,4,0,3,Active,NORMAL
WCU-01-4-WC-15-Mo,1,2026-01-08,WC-15,Morning,8,7.42,81.04,0.58,Material Wait,0.49,18,0,4,Active,NORMAL
WCU-01-4-WC-15-Af,1,2026-01-08,WC-15,Afternoon,8,7.18,92.32,0.82,None,0.17,9,0.15,2,Active,NORMAL
WCU-01-4-WC-15-Ni,1,2026-01-08,WC-15,Night,8,7.62,67.67,0.38,Setup,0.28,10,0,2,Active,NORMAL
WCU-01-4-WC-ASSM-03-Mo,1,2026-01-08,WC-ASSM-03,Morning,8,7.18,92.19,0.82,Setup,0.91,5,0.32,4,Active,NORMAL
WCU-01-4-WC-ASSM-03-Af,1,2026-01-08,WC-ASSM-03,Afternoon,8,7.11,92.67,0.89,Material Wait,0.56,-4,0.2,4,Active,NORMAL
WCU-01-4-WC-ASSM-03-Ni,1,2026-01-08,WC-ASSM-03,Night,8,7.79,86.4,0.21,Setup,1.11,13,0.06,3,Active,NORMAL
WCU-01-5-WC-01-Mo,1,2026-01-09,WC-01,Morning,8,7.56,89.47,0.44,Planned Maintenance,0.14,-1,0.14,1,Active,NORMAL
WCU-01-5-WC-01-Af,1,2026-01-09,WC-01,Afternoon,8,7.98,57.75,0.02,Material Wait,1.72,2,0,3,Active,NORMAL
WCU-01-5-WC-01-Ni,1,2026-01-09,WC-01,Night,8,7.61,61.96,0.39,None,0.09,-1,0,3,Active,NORMAL
WCU-01-5-WC-04-Mo,1,2026-01-09,WC-04,Morning,8,7.65,91.93,0.35,Planned Maintenance,1.38,11,0.2,2,Active,NORMAL
WCU-01-5-WC-04-Af,1,2026-01-09,WC-04,Afternoon,8,7.96,81.87,0.04,None,1.1,14,0,1,Active,NORMAL
WCU-01-5-WC-04-Ni,1,2026-01-09,WC-04,Night,8,7.45,65.8,0.55,Planned Maintenance,1.49,-2,0,2,Active,NORMAL
WCU-01-5-WC-07-Mo,1,2026-01-09,WC-07,Morning,8,7.83,63.07,0.17,Material Wait,0.85,-3,0,1,Active,NORMAL
WCU-01-5-WC-07-Af,1,2026-01-09,WC-07,Afternoon,8,7.79,86.33,0.21,None,1.04,18,0.03,4,Active,NORMAL
WCU-01-5-WC-07-Ni,1,2026-01-09,WC-07,Night,8,7.55,82.13,0.45,None,0.54,9,0,2,Active,NORMAL
WCU-01-5-WC-09-Mo,1,2026-01-09,WC-09,Morning,8,7.25,77.39,0.75,None,0.93,4,0.04,2,Active,NORMAL
WCU-01-5-WC-09-Af,1,2026-01-09,WC-09,Afternoon,8,7.39,86.72,0.61,None,0.22,-2,0.21,1,Active,NORMAL
WCU-01-5-WC-09-Ni,1,2026-01-09,WC-09,Night,8,7.76,61.86,0.24,None,1.75,-2,0,3,Active,NORMAL
WCU-01-5-WC-12-Mo,1,2026-01-09,WC-12,Morning,8,7.72,86.96,0.28,Planned Maintenance,0.37,4,0.22,1,Active,NORMAL
WCU-01-5-WC-12-Af,1,2026-01-09,WC-12,Afternoon,8,7.25,79.01,0.75,None,1.49,4,0.07,4,Active,NORMAL
WCU-01-5-WC-12-Ni,1,2026-01-09,WC-12,Night,8,7.15,68.96,0.85,Setup,1.91,4,0,3,Active,NORMAL
WCU-01-5-WC-15-Mo,1,2026-01-09,WC-15,Morning,8,7.39,66.12,0.61,None,1.19,13,0,2,Active,NORMAL
WCU-01-5-WC-15-Af,1,2026-01-09,WC-15,Afternoon,8,7.35,74.03,0.65,None,0.92,17,0,3,Active,NORMAL
WCU-01-5-WC-15-Ni,1,2026-01-09,WC-15,Night,8,7.48,85.06,0.52,None,0.56,16,0.0,2,Active,NORMAL
WCU-01-5-WC-ASSM-03-Mo,1,2026-01-09,WC-ASSM-03,Morning,8,7.73,79.87,0.27,None,0.18,5,0.0,2,Active,NORMAL
WCU-01-5-WC-ASSM-03-Af,1,2026-01-09,WC-ASSM-03,Afternoon,8,7.81,76.48,0.19,Planned Maintenance,1.66,15,0,4,Active,NORMAL
WCU-01-5-WC-ASSM-03-Ni,1,2026-01-09,WC-ASSM-03,Night,8,7.49,67.2,0.51,None,1.84,14,0,4,Active,NORMAL
WCU-02-1-WC-01-Mo,2,2026-01-12,WC-01,Morning,8,7.52,62.53,0.48,Setup,0.24,-2,0,4,Active,NORMAL
WCU-02-1-WC-01-Af,2,2026-01-12,WC-01,Afternoon,8,7.71,89.19,0.29,Planned Maintenance,1.6,6,0.16,3,Active,NORMAL
WCU-02-1-WC-01-Ni,2,2026-01-12,WC-01,Night,8,7.02,56.64,0.98,Material Wait,1.16,-4,0,3,Active,NORMAL
WCU-02-1-WC-04-Mo,2,2026-01-12,WC-04,Morning,8,7.88,81.33,0.12,None,1.27,6,0,2,Active,NORMAL
WCU-02-1-WC-04-Af,2,2026-01-12,WC-04,Afternoon,8,7.33,88.45,0.67,Planned Maintenance,1.58,-5,0.12,1,Active,NORMAL
WCU-02-1-WC-04-Ni,2,2026-01-12,WC-04,Night,8,7.97,70.78,0.03,Setup,1.15,3,0,3,Active,NORMAL
WCU-02-1-WC-07-Mo,2,2026-01-12,WC-07,Morning,8,7.25,81.48,0.75,Planned Maintenance,1.74,-2,0,1,Active,NORMAL
WCU-02-1-WC-07-Af,2,2026-01-12,WC-07,Afternoon,8,7.33,68.43,0.67,None,0.72,10,0,4,Active,NORMAL
WCU-02-1-WC-07-Ni,2,2026-01-12,WC-07,Night,8,7.45,78.5,0.55,Setup,0.91,-2,0,1,Active,NORMAL
WCU-02-1-WC-09-Mo,2,2026-01-12,WC-09,Morning,8,7.1,90.09,0.9,Material Wait,1.7,5,0.3,3,Active,NORMAL
WCU-02-1-WC-09-Af,2,2026-01-12,WC-09,Afternoon,8,7.7,56.09,0.3,None,1.14,5,0,1,Active,NORMAL
WCU-02-1-WC-09-Ni,2,2026-01-12,WC-09,Night,8,7.38,88.74,0.62,Setup,1.27,10,0.26,3,Active,NORMAL
WCU-02-1-WC-12-Mo,2,2026-01-12,WC-12,Morning,8,7.83,67.07,0.17,None,0.75,-2,0,3,Active,NORMAL
WCU-02-1-WC-12-Af,2,2026-01-12,WC-12,Afternoon,8,7.32,92.89,0.68,None,0.4,2,0.31,1,Active,NORMAL
WCU-02-1-WC-12-Ni,2,2026-01-12,WC-12,Night,8,7.85,60.15,0.15,None,0.61,3,0,2,Active,NORMAL
WCU-02-1-WC-15-Mo,2,2026-01-12,WC-15,Morning,8,7.61,76.44,0.39,None,0.38,-2,0,1,Active,NORMAL
WCU-02-1-WC-15-Af,2,2026-01-12,WC-15,Afternoon,8,7.6,64.75,0.4,None,0.01,2,0,2,Active,NORMAL
WCU-02-1-WC-15-Ni,2,2026-01-12,WC-15,Night,8,7.4,79.03,0.6,Planned Maintenance,0.96,8,0.07,3,Active,NORMAL
WCU-02-1-WC-ASSM-03-Mo,2,2026-01-12,WC-ASSM-03,Morning,8,7.17,63.33,0.83,Planned Maintenance,0.23,0,0,3,Active,NORMAL
WCU-02-1-WC-ASSM-03-Af,2,2026-01-12,WC-ASSM-03,Afternoon,8,7.27,91.31,0.73,None,0.5,0,0.17,2,Active,NORMAL
WCU-02-1-WC-ASSM-03-Ni,2,2026-01-12,WC-ASSM-03,Night,8,7.05,72.16,0.95,None,1.42,0,0,4,Active,NORMAL
WCU-02-2-WC-01-Mo,2,2026-01-13,WC-01,Morning,8,7.58,69.6,0.42,Setup,1.65,12,0,1,Active,NORMAL
WCU-02-2-WC-01-Af,2,2026-01-13,WC-01,Afternoon,8,7.51,82.57,0.49,Planned Maintenance,1.56,17,0.13,2,Active,NORMAL
WCU-02-2-WC-01-Ni,2,2026-01-13,WC-01,Night,8,7.07,81.64,0.93,Setup,1.53,9,0.08,4,Active,NORMAL
WCU-02-2-WC-04-Mo,2,2026-01-13,WC-04,Morning,8,7.18,64.84,0.82,Planned Maintenance,0.92,0,0,2,Active,NORMAL
WCU-02-2-WC-04-Af,2,2026-01-13,WC-04,Afternoon,8,7.46,83.56,0.54,Setup,0.88,18,0.14,3,Active,NORMAL
WCU-02-2-WC-04-Ni,2,2026-01-13,WC-04,Night,8,7.89,69.25,0.11,None,1.72,3,0,4,Active,NORMAL
WCU-02-2-WC-07-Mo,2,2026-01-13,WC-07,Morning,8,7.27,68.69,0.73,Planned Maintenance,0.83,1,0,3,Active,NORMAL
WCU-02-2-WC-07-Af,2,2026-01-13,WC-07,Afternoon,8,7.93,88.68,0.07,Material Wait,0.15,13,0.19,3,Active,NORMAL
WCU-02-2-WC-07-Ni,2,2026-01-13,WC-07,Night,8,7.24,79.48,0.76,Planned Maintenance,0.69,18,0,2,Active,NORMAL
WCU-02-2-WC-09-Mo,2,2026-01-13,WC-09,Morning,8,7.76,75.7,0.24,None,0.08,7,0,2,Active,NORMAL
WCU-02-2-WC-09-Af,2,2026-01-13,WC-09,Afternoon,8,7.19,71.92,0.81,None,1.73,0,0,3,Active,NORMAL
WCU-02-2-WC-09-Ni,2,2026-01-13,WC-09,Night,8,7.95,85.6,0.05,None,0.2,14,0.17,3,Active,NORMAL
WCU-02-2-WC-12-Mo,2,2026-01-13,WC-12,Morning,8,7.02,55.67,0.98,Material Wait,0.77,5,0,1,Active,NORMAL
WCU-02-2-WC-12-Af,2,2026-01-13,WC-12,Afternoon,8,7.54,85.44,0.46,Material Wait,0.53,3,0.05,3,Active,NORMAL
WCU-02-2-WC-12-Ni,2,2026-01-13,WC-12,Night,8,7.6,79.79,0.4,Planned Maintenance,0.27,0,0.02,3,Active,NORMAL
WCU-02-2-WC-15-Mo,2,2026-01-13,WC-15,Morning,8,7.11,72.41,0.89,Material Wait,1.97,16,0,3,Active,NORMAL
WCU-02-2-WC-15-Af,2,2026-01-13,WC-15,Afternoon,8,7.28,73.78,0.72,Material Wait,0.3,18,0,2,Active,NORMAL
WCU-02-2-WC-15-Ni,2,2026-01-13,WC-15,Night,8,7.2,71.15,0.8,Material Wait,0.15,2,0,2,Active,NORMAL
WCU-02-2-WC-ASSM-03-Mo,2,2026-01-13,WC-ASSM-03,Morning,8,7.73,94.96,0.27,None,1.25,6,0.29,3,Active,NORMAL
